Año,Trimestre,Provincia,Accesos telefonía fija (total)
2020,1,Buenos Aires,3261264
2020,1,Capital Federal,1456196
2020,1,Catamarca,29743
2020,1,Chaco,84041
2020,1,Chubut,78692
2020,1,Córdoba,574075
2020,1,Corrientes,87649
2020,1,Entre Ríos,186835
2020,1,Formosa,34562
2020,1,Jujuy,47985
2020,1,La Pampa,70733
2020,1,La Rioja,27079
2020,1,Mendoza,210725
2020,1,Misiones,90832
2020,1,Neuquén,77487
2020,1,Río Negro,88260
2020,1,Salta,107506
2020,1,San Juan,78502
2020,1,San Luis,36334
2020,1,Santa Cruz,29360
2020,1,Santa Fe,624563
2020,1,Santiago del Estero,67237
2020,1,Tierra del Fuego,23550
2020,1,Tucumán,182424
2019,4,Buenos Aires,3348525
2019,4,Capital Federal,1478871
2019,4,Catamarca,31113
2019,4,Chaco,86928
2019,4,Chubut,81784
2019,4,Córdoba,604424
2019,4,Corrientes,89969
2019,4,Entre Ríos,191513
2019,4,Formosa,35319
2019,4,Jujuy,49460
2019,4,La Pampa,71332
2019,4,La Rioja,28349
2019,4,Mendoza,218661
2019,4,Misiones,93753
2019,4,Neuquén,78963
2019,4,Río Negro,91113
2019,4,Salta,110873
2019,4,San Juan,80524
2019,4,San Luis,37794
2019,4,Santa Cruz,30409
2019,4,Santa Fe,643060
2019,4,Santiago del Estero,68405
2019,4,Tierra del Fuego,24283
2019,4,Tucumán,187391
2019,3,Buenos Aires,3414932
2019,3,Capital Federal,1497396
2019,3,Catamarca,32676
2019,3,Chaco,88269
2019,3,Chubut,83907
2019,3,Córdoba,612366
2019,3,Corrientes,91158
2019,3,Entre Ríos,194253
2019,3,Formosa,35966
2019,3,Jujuy,50113
2019,3,La Pampa,63774
2019,3,La Rioja,29547
2019,3,Mendoza,225668
2019,3,Misiones,95865
2019,3,Neuquén,80350
2019,3,Río Negro,94207
2019,3,Salta,113707
2019,3,San Juan,82462
2019,3,San Luis,39274
2019,3,Santa Cruz,32023
2019,3,Santa Fe,647965
2019,3,Santiago del Estero,69371
2019,3,Tierra del Fuego,25143
2019,3,Tucumán,192297
2019,2,Buenos Aires,3348525
2019,2,Capital Federal,1478871
2019,2,Catamarca,31113
2019,2,Chaco,86928
2019,2,Chubut,81784
2019,2,Córdoba,604424
2019,2,Corrientes,89969
2019,2,Entre Ríos,191513
2019,2,Formosa,35319
2019,2,Jujuy,49460
2019,2,La Pampa,71332
2019,2,La Rioja,28349
2019,2,Mendoza,218661
2019,2,Misiones,93753
2019,2,Neuquén,78963
2019,2,Río Negro,91113
2019,2,Salta,110873
2019,2,San Juan,80524
2019,2,San Luis,37794
2019,2,Santa Cruz,30409
2019,2,Santa Fe,643060
2019,2,Santiago del Estero,68405
2019,2,Tierra del Fuego,24283
2019,2,Tucumán,187391
2019,1,Buenos Aires,3563157
2019,1,Capital Federal,1599798
2019,1,Catamarca,36178
2019,1,Chaco,93703
2019,1,Chubut,88768
2019,1,Córdoba,656248
2019,1,Corrientes,95050
2019,1,Entre Ríos,203743
2019,1,Formosa,37799
2019,1,Jujuy,51824
2019,1,La Pampa,65887
2019,1,La Rioja,32830
2019,1,Mendoza,241006
2019,1,Misiones,101672
2019,1,Neuquén,83521
2019,1,Río Negro,100373
2019,1,Salta,122902
2019,1,San Juan,85905
2019,1,San Luis,42908
2019,1,Santa Cruz,34171
2019,1,Santa Fe,685178
2019,1,Santiago del Estero,72886
2019,1,Tierra del Fuego,25181
2019,1,Tucumán,206715
2018,4,Buenos Aires,4558545
2018,4,Capital Federal,1753365
2018,4,Catamarca,36970
2018,4,Chaco,95754
2018,4,Chubut,117520
2018,4,Córdoba,671019
2018,4,Corrientes,96921
2018,4,Entre Ríos,207407
2018,4,Formosa,38705
2018,4,Jujuy,52432
2018,4,La Pampa,76460
2018,4,La Rioja,33864
2018,4,Mendoza,360697
2018,4,Misiones,104246
2018,4,Neuquén,109166
2018,4,Río Negro,139693
2018,4,Salta,126296
2018,4,San Juan,115257
2018,4,San Luis,51830
2018,4,Santa Cruz,44277
2018,4,Santa Fe,697606
2018,4,Santiago del Estero,74168
2018,4,Tierra del Fuego,33372
2018,4,Tucumán,210346
2018,3,Buenos Aires,4492692
2018,3,Capital Federal,1775534
2018,3,Catamarca,37877
2018,3,Chaco,91629
2018,3,Chubut,116981
2018,3,Córdoba,674653
2018,3,Corrientes,94809
2018,3,Entre Ríos,200199
2018,3,Formosa,39405
2018,3,Jujuy,53058
2018,3,La Pampa,75708
2018,3,La Rioja,34553
2018,3,Mendoza,360459
2018,3,Misiones,103894
2018,3,Neuquén,97134
2018,3,Río Negro,139713
2018,3,Salta,129587
2018,3,San Juan,115192
2018,3,San Luis,44305
2018,3,Santa Cruz,44198
2018,3,Santa Fe,672622
2018,3,Santiago del Estero,53667
2018,3,Tierra del Fuego,33372
2018,3,Tucumán,213747
2018,2,Buenos Aires,4477907
2018,2,Capital Federal,1742825
2018,2,Catamarca,38159
2018,2,Chaco,97970
2018,2,Chubut,117005
2018,2,Córdoba,683794
2018,2,Corrientes,99001
2018,2,Entre Ríos,213670
2018,2,Formosa,39741
2018,2,Jujuy,53642
2018,2,La Pampa,75704
2018,2,La Rioja,35170
2018,2,Mendoza,360453
2018,2,Misiones,108094
2018,2,Neuquén,97148
2018,2,Río Negro,139757
2018,2,Salta,131938
2018,2,San Juan,115192
2018,2,San Luis,44326
2018,2,Santa Cruz,44258
2018,2,Santa Fe,685345
2018,2,Santiago del Estero,55208
2018,2,Tierra del Fuego,33372
2018,2,Tucumán,214298
2018,1,Buenos Aires,4437761
2018,1,Capital Federal,1732094
2018,1,Catamarca,38375
2018,1,Chaco,99037
2018,1,Chubut,113978
2018,1,Córdoba,691843
2018,1,Corrientes,99564
2018,1,Entre Ríos,215675
2018,1,Formosa,40111
2018,1,Jujuy,54304
2018,1,La Pampa,75269
2018,1,La Rioja,35980
2018,1,Mendoza,360420
2018,1,Misiones,103398
2018,1,Neuquén,97217
2018,1,Río Negro,139844
2018,1,Salta,134030
2018,1,San Juan,115192
2018,1,San Luis,44327
2018,1,Santa Cruz,44206
2018,1,Santa Fe,689027
2018,1,Santiago del Estero,57141
2018,1,Tierra del Fuego,33372
2018,1,Tucumán,214755
2017,4,Buenos Aires,4881863
2017,4,Capital Federal,1618260
2017,4,Catamarca,38665
2017,4,Chaco,102077
2017,4,Chubut,122592
2017,4,Córdoba,704306
2017,4,Corrientes,102049
2017,4,Entre Ríos,223126
2017,4,Formosa,41139
2017,4,Jujuy,56418
2017,4,La Pampa,83364
2017,4,La Rioja,37770
